line:0,	 id:106,	"call qword ptr [r12+rbx*8]",	0x00007ffc2bd23ed8,	8,	1106400000000000,	0000000000000000,43,	1
line:10,	 id:238,	"mov dword ptr [rbp+rax*4-0x30], edx",	0x00007ffc2bd23ed0,	4,	01000000,	00000000,214,	7ffc2bd23f00
line:11,	 id:249,	"mov dword ptr [rax*4+0x601060], edx",	0x0000000000601060,	4,	00000000,	01000000,214,	7ffc2bd23f00
line:10,	 id:262,	"mov dword ptr [rbp+rax*4-0x30], edx",	0x00007ffc2bd23ed4,	4,	00000000,	01000000,214,	7ffc2bd23f00
line:11,	 id:273,	"mov dword ptr [rax*4+0x601060], edx",	0x0000000000601064,	4,	00000000,	02000000,214,	7ffc2bd23f00
line:10,	 id:286,	"mov dword ptr [rbp+rax*4-0x30], edx",	0x00007ffc2bd23ed8,	4,	2d064000,	02000000,214,	7ffc2bd23f00
line:11,	 id:297,	"mov dword ptr [rax*4+0x601060], edx",	0x0000000000601068,	4,	00000000,	03000000,214,	7ffc2bd23f00
line:10,	 id:310,	"mov dword ptr [rbp+rax*4-0x30], edx",	0x00007ffc2bd23edc,	4,	00000000,	03000000,214,	7ffc2bd23f00
line:11,	 id:321,	"mov dword ptr [rax*4+0x601060], edx",	0x000000000060106c,	4,	00000000,	04000000,214,	7ffc2bd23f00
line:10,	 id:334,	"mov dword ptr [rbp+rax*4-0x30], edx",	0x00007ffc2bd23ee0,	4,	00000000,	04000000,214,	7ffc2bd23f00
line:11,	 id:345,	"mov dword ptr [rax*4+0x601060], edx",	0x0000000000601070,	4,	00000000,	05000000,214,	7ffc2bd23f00
line:10,	 id:358,	"mov dword ptr [rbp+rax*4-0x30], edx",	0x00007ffc2bd23ee4,	4,	00000000,	05000000,214,	7ffc2bd23f00
line:11,	 id:369,	"mov dword ptr [rax*4+0x601060], edx",	0x0000000000601074,	4,	00000000,	06000000,214,	7ffc2bd23f00
line:10,	 id:382,	"mov dword ptr [rbp+rax*4-0x30], edx",	0x00007ffc2bd23ee8,	4,	00000000,	06000000,214,	7ffc2bd23f00
line:11,	 id:393,	"mov dword ptr [rax*4+0x601060], edx",	0x0000000000601078,	4,	00000000,	07000000,214,	7ffc2bd23f00
line:10,	 id:406,	"mov dword ptr [rbp+rax*4-0x30], edx",	0x00007ffc2bd23eec,	4,	00000000,	07000000,214,	7ffc2bd23f00
line:11,	 id:417,	"mov dword ptr [rax*4+0x601060], edx",	0x000000000060107c,	4,	00000000,	08000000,214,	7ffc2bd23f00
line:10,	 id:430,	"mov dword ptr [rbp+rax*4-0x30], edx",	0x00007ffc2bd23ef0,	4,	e0054000,	08000000,214,	7ffc2bd23f00
line:11,	 id:441,	"mov dword ptr [rax*4+0x601060], edx",	0x0000000000601080,	4,	00000000,	09000000,214,	7ffc2bd23f00
line:10,	 id:454,	"mov dword ptr [rbp+rax*4-0x30], edx",	0x00007ffc2bd23ef4,	4,	00000000,	09000000,214,	7ffc2bd23f00
line:11,	 id:465,	"mov dword ptr [rax*4+0x601060], edx",	0x0000000000601084,	4,	00000000,	0a000000,214,	7ffc2bd23f00
